drug_cellline	depmap_dependency_score
Indacaterol (maleate)_CVCL_1055	0.0091501998560411
Indacaterol (maleate)_CVCL_1693	0.0325919264009367
Indacaterol (maleate)_CVCL_0371	0.0192303866795988
Indacaterol (maleate)_CVCL_0851	0.6811717763749058
Indacaterol (maleate)_CVCL_1352	0.0199082459651594
Indacaterol (maleate)_CVCL_0039	0.014891562811088
Indacaterol (maleate)_CVCL_1524	0.0606007769722804
Indacaterol (maleate)_CVCL_1465	0.0094916094984195
Indacaterol (maleate)_CVCL_1577	0.0103969557825115
Indacaterol (maleate)_CVCL_1559	0.0098840394538058
Indacaterol (maleate)_CVCL_1285	0.0144383896434141
Indacaterol (maleate)_CVCL_0139	0.0022874344742695
Indacaterol (maleate)_CVCL_3613	0.0164782078198108
Indacaterol (maleate)_CVCL_1716	0.1057911323737033
Indacaterol (maleate)_CVCL_1547	0.0181846598445046
Indacaterol (maleate)_CVCL_1478	0.004507037790174
Indacaterol (maleate)_CVCL_0099	0.0114723125269658
Indacaterol (maleate)_CVCL_0504	0.0128471530156246
Indacaterol (maleate)_CVCL_0399	0.0245315584812506
Indacaterol (maleate)_CVCL_0397	0.0094734263676217
Indacaterol (maleate)_CVCL_1724	0.0146147651445328
Indacaterol (maleate)_CVCL_0291	0.0141783786090799
Indacaterol (maleate)_CVCL_1456	0.0396554740128555
Indacaterol (maleate)_CVCL_1385	0.0580217390583361
Indacaterol (maleate)_CVCL_0292	0.0090774177322178
Indacaterol (maleate)_CVCL_0218	0.0137483394257848
Indacaterol (maleate)_CVCL_0248	0.0208761246930514
Indacaterol (maleate)_CVCL_1266	0.0179183682246112
Indacaterol (maleate)_CVCL_0069	0.0370875412448896
Indacaterol (maleate)_CVCL_1094	0.0011888445029875
Indacaterol (maleate)_CVCL_2610	0.1959816350173116
Indacaterol (maleate)_CVCL_1282	0.0354735217938665
Sacubitril/Valsartan_CVCL_0031	0.031951796296262
Sacubitril/Valsartan_CVCL_1639	0.0475692541930898
Sacubitril/Valsartan_CVCL_1125	0.0408869724447295
Sacubitril/Valsartan_CVCL_1119	0.2536237963217685
Sacubitril/Valsartan_CVCL_1635	0.0283445508669654
Sacubitril/Valsartan_CVCL_0332	0.0692718104195197
Sacubitril/Valsartan_CVCL_0480	0.0848984928126299
Sacubitril/Valsartan_CVCL_0334	0.0539114772236609
Sacubitril/Valsartan_CVCL_0152	0.0468394522621684
Sacubitril/Valsartan_CVCL_1987	0.0864474745433026
Sacubitril/Valsartan_CVCL_1183	0.0240267174266708
Sacubitril/Valsartan_CVCL_0950	0.0256969149815282
Sacubitril/Valsartan_CVCL_1329	0.0316406467425288
Sacubitril/Valsartan_CVCL_0078	0.2018880119472995
Sacubitril/Valsartan_CVCL_1531	0.2210888237016949
Sacubitril/Valsartan_CVCL_1118	0.191279515312133
Sacubitril/Valsartan_CVCL_1666	0.04463538669727
Sacubitril/Valsartan_CVCL_0525	0.0045297616486048
Sacubitril/Valsartan_CVCL_1245	0.0109135390755686
Sacubitril/Valsartan_CVCL_0555	0.044591050879834
Sacubitril/Valsartan_CVCL_1239	0.0173047886322188
Sacubitril/Valsartan_CVCL_0359	0.4331070742098317
Sacubitril/Valsartan_CVCL_1638	0.0751824561699256
Sacubitril/Valsartan_CVCL_1729	0.0789286932181188
Sacubitril/Valsartan_CVCL_1603	0.1361041512656814
Sacubitril/Valsartan_CVCL_1715	0.0843881814810218
Sacubitril/Valsartan_CVCL_1392	0.3951825716350393
Sacubitril/Valsartan_CVCL_3015	0.0521184279061387
Sacubitril/Valsartan_CVCL_0459	0.0208120485350118
Sacubitril/Valsartan_CVCL_1718	0.1040223425051861
Sacubitril/Valsartan_CVCL_0544	0.0310422268120712
Sacubitril/Valsartan_CVCL_0366	0.0630603132956582
Sacubitril/Valsartan_CVCL_1495	0.0219010382174416
Sacubitril/Valsartan_CVCL_1383	0.0306058545170577
Sacubitril/Valsartan_CVCL_0060	0.0635941663814325
Sacubitril/Valsartan_CVCL_0608	0.2782623610209371
Sacubitril/Valsartan_CVCL_1517	0.1013680703182368
Sacubitril/Valsartan_CVCL_0186	0.0162349493215212
Sacubitril/Valsartan_CVCL_0320	0.1800141878525278
Sacubitril/Valsartan_CVCL_0131	0.1752416250133946
Sacubitril/Valsartan_CVCL_1097	0.1347741580002798
Sacubitril/Valsartan_CVCL_0428	0.0343779686407661
Sacubitril/Valsartan_CVCL_0547	0.0939668942955702
Sacubitril/Valsartan_CVCL_1720	0.089175766289044
Sacubitril/Valsartan_CVCL_0023	0.3170865858008037
Sacubitril/Valsartan_CVCL_1195	0.0929360010676916
Sacubitril/Valsartan_CVCL_1055	0.0115600274106282
Sacubitril/Valsartan_CVCL_1693	0.027177077366551
Sacubitril/Valsartan_CVCL_0371	0.0470281654774885
Sacubitril/Valsartan_CVCL_0851	0.0404641295048922
Sacubitril/Valsartan_CVCL_1352	0.0520885959472291
Sacubitril/Valsartan_CVCL_0039	0.0145392777075799
Sacubitril/Valsartan_CVCL_1524	0.0521700498326849
Sacubitril/Valsartan_CVCL_1465	0.0640240843652661
Sacubitril/Valsartan_CVCL_1577	0.0377675123577875
Sacubitril/Valsartan_CVCL_1559	0.074086785839779
Sacubitril/Valsartan_CVCL_1285	0.0503590444031958
Sacubitril/Valsartan_CVCL_0139	0.0336866250136234
Sacubitril/Valsartan_CVCL_3613	0.00169823465707
Sacubitril/Valsartan_CVCL_1716	0.040294081771083
Sacubitril/Valsartan_CVCL_1547	0.0110197172902646
Sacubitril/Valsartan_CVCL_1478	0.0961897102251564
Sacubitril/Valsartan_CVCL_0099	0.0295145067495873
Sacubitril/Valsartan_CVCL_0504	0.0649102007131801
Sacubitril/Valsartan_CVCL_0399	0.010446808308258
Sacubitril/Valsartan_CVCL_0397	0.023553201981883
Sacubitril/Valsartan_CVCL_1724	0.0312444027791534
Sacubitril/Valsartan_CVCL_0291	0.0218738035834769
Sacubitril/Valsartan_CVCL_1456	0.0420804111933632
Sacubitril/Valsartan_CVCL_1385	0.0055219648910268
Sacubitril/Valsartan_CVCL_0292	0.0230152021008954
Sacubitril/Valsartan_CVCL_0218	0.0267124947355446
Sacubitril/Valsartan_CVCL_0248	0.0898903548850557
Sacubitril/Valsartan_CVCL_1266	0.0742366069389724
Sacubitril/Valsartan_CVCL_0069	0.0294556354269949
Sacubitril/Valsartan_CVCL_1094	0.0570007380426629
Sacubitril/Valsartan_CVCL_2610	0.2476057934071189
Sacubitril/Valsartan_CVCL_1282	0.0217735598024363
Carbidopa (monohydrate)_CVCL_0031	0.015542392979511
Carbidopa (monohydrate)_CVCL_1639	0.0052246305400768
Carbidopa (monohydrate)_CVCL_1125	0.2131893399415499
Carbidopa (monohydrate)_CVCL_1119	0.0015752462855367
Carbidopa (monohydrate)_CVCL_1635	0.0065758273673166
